ID,hs_date,label,weight,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127,feature128,feature129,feature130,feature131,feature132,feature133,feature134,feature135,feature136,feature137,feature138,feature139,feature140,feature141,feature142,feature143,feature144,feature145,feature146,feature147,feature148,feature149,feature150,feature151,feature152,feature153,feature154,feature155,feature156,feature157,feature158,feature159,feature160,feature161,feature162,feature163,feature164,feature165,feature166,feature167,feature168,feature169,feature170,feature171,feature172,feature173,feature174,feature175,feature176,feature177,feature178,feature179,feature180,feature181,feature182,feature183,feature184,feature185,feature186,feature187,feature188,feature189,feature190,feature191,feature192,feature193,feature194,feature195,feature196,feature197,feature198,feature199,feature200,feature201,feature202,feature203,feature204,feature205,feature206,feature207,feature208,feature209,feature210,feature211,feature212,feature213,feature214,feature215,feature216,feature217,feature218,feature219
ID_100001,2024-11-23,0,1,137,3,36,35,0.101187,0.212761,-0.020654,-999,-999,1,0.332643,2,1.005975,-999,3,0.842493,1,7,4,-1,0.25746,718,-999.0,0,-999,0.476081,0.650571,-999,-0.066455,2,3,682,20,1.003449,-999,7,-999.0,9,10,0,8,-999.0,135,1.337383,-999.0,-999,0.335371,0.611341,0.005544,35,-999,-0.009649,0.790875,3,0.049619,-999.0,0.45222,-999.0,0.595165,-999.0,0.737536,-999.0,0.338794,-999.0,-999,0.415845,0.334328,-999,0.81854,-999,-0.008079,0.982137,7,1.014167,0.008871,0.488066,722,0.020728,-999.0,0.002017,9,23,-999,-999,35,1.022815,-999.0,0.099988,-0.005988,-999,-999.0,0.038417,0.378958,0.519208,0,0.108841,0.006084,0.014016,-6,-0.009245,-999.0,0.112591,0.828981,-999.0,0,0.449183,-999,-999.0,0.004967,11,1,9,61,-0.000757,4,0,-0.023572,4,147,0,-999,4,-999,104,0,-999,1,7,-1,0.35598,-999,-0.008123,-0.009781,-999,0.464643,-999,2,-0.017554,0.645544,0.072257,5,-999.0,0.70904,1,2,-999.0,0,-999,-999.0,0.164415,67,16,-999.0,0.629753,608,51,0,-0.001016,0.083466,-999.0,0,-0.007184,2,0,-999.0,-999,10,0.559417,0.994508,8,6,0,-999,0.849056,7,1.015305,8,1.056436,-999,0,0.614796,0.408222,1,-0.0063,0.985488,-0.007242,-999.0,0.005715,0.603211,15,-999.0,1.143285,0.502906,0.328057,4,5,0.475753,-999.0,-999,48,347,2,1.016295,-999.0,0.227917,97,0,0.044455,2,33,-999,-999,-999.0,-999.0,-999.0,0,-999,-999,0
ID_100002,2024-10-02,0,1,31,1,205,29,0.050161,-0.001155,0.046687,-999,0,-999,0.415823,0,0.393522,-999,3,0.368553,0,-2,3,0,0.001108,612,-999.0,17,-999,0.105804,-999.0,-999,0.28141,1,1,711,-999,0.014388,69,-1,-999.0,1,2,2,3,-999.0,193,3.740109,0.00041,-999,0.658612,0.250469,0.555301,7,315,0.619267,0.622441,-999,0.114582,-0.011437,0.313628,0.110618,0.5259,0.51678,0.007553,0.017652,0.615748,0.992583,0,0.229771,0.01167,46,0.011033,247,-0.016775,-999.0,2,-999.0,-999.0,0.092255,666,-999.0,0.018047,0.080773,3,-999,262,-999,7,-999.0,-999.0,0.66638,0.171981,-999,-999.0,0.046415,-0.013764,-999.0,0,1.858704,-0.002955,-999.0,4,0.314218,0.032379,-0.194963,0.510075,1.019019,0,0.991348,-999,-999.0,-0.001025,236,0,3,336,-999.0,3,0,0.00938,10,31,0,-999,0,129,14,1,-999,0,-999,15,1.010078,-999,1.013559,-0.348035,-4,0.512599,246,6,0.409292,0.495345,0.12684,2,-999.0,0.931311,2,2,-999.0,0,-999,-999.0,0.009709,-1,6,-999.0,0.33517,-999,53,1,0.007207,0.000584,-999.0,0,-999.0,3,0,0.970636,-999,12,0.461447,1.010464,2,2,0,10,1.013954,-999,-999.0,0,-0.257714,-999,5,1.007324,0.383968,2,-999.0,0.272969,0.003333,0.830476,-0.00907,0.9858,0,-999.0,1.63848,0.239576,0.215097,18,12,-0.004716,0.039902,-999,68,-999,0,0.926921,0.060132,0.605657,-2,0,0.196217,0,27,-999,-999,-999.0,-0.003982,0.039538,2,-999,-3,0
ID_100003,2024-10-30,0,1,119,0,59,14,0.088828,0.115937,0.317978,11,1,-999,0.195733,6,0.405817,-999,3,0.194634,4,-999,15,-1,0.038232,708,-999.0,0,-999,-999.0,-999.0,-999,0.37408,5,0,722,-999,0.010414,-999,-1,-999.0,15,35,0,6,-999.0,212,2.53112,-0.006817,38,0.742061,0.847007,0.748529,4,592,0.604297,1.007141,-999,0.447015,0.663118,0.287432,-999.0,-0.004007,-0.009276,0.002893,-999.0,0.255285,1.00541,-999,0.073141,-999.0,-999,-0.003173,-999,0.207734,0.090412,3,0.020803,-999.0,-0.00452,718,-999.0,0.853289,0.179489,1,23,-999,-999,0,0.795902,0.489872,0.003226,0.343059,-999,-999.0,-0.014321,-999.0,0.985313,1,-0.195899,0.331669,0.031434,-999,-0.026774,-0.003282,1.791328,-0.016417,1.011547,0,0.511315,-999,-999.0,-0.002897,7,15,2,74,0.015582,1,0,0.020704,3,336,0,366,1,107,21,1,-999,6,51,11,0.983128,4,0.35728,-0.456634,-999,0.607212,121,1,-0.013599,0.642417,0.057841,2,0.71501,0.999535,1,0,-0.036466,0,-999,-0.048234,0.024798,16,7,-999.0,0.566884,-999,52,1,0.000452,-0.011897,-999.0,0,-999.0,1,0,0.495648,-999,15,0.233275,0.993095,5,5,0,-999,0.880241,5,-999.0,6,-28.436271,-999,0,0.004436,0.341202,9,-999.0,0.60799,0.135988,-999.0,-999.0,0.50642,0,-999.0,1.27129,0.514732,0.149967,0,1,0.361211,-0.011767,-999,30,-999,0,0.51885,-999.0,-999.0,77,0,0.308941,4,67,-999,-999,0.000215,-0.003777,0.012969,0,-999,-999,2
ID_100004,2024-10-03,0,1,112,9,90,41,0.095709,0.004147,0.10171,-999,-999,0,0.126806,7,0.661593,-999,0,-0.007243,-4,40,-999,61,0.111284,713,-999.0,26,-999,0.316477,-999.0,-999,0.161292,6,2,-999,3,0.031371,-999,3,-999.0,3,5,0,12,-999.0,439,3.086438,0.478507,-999,0.986368,1.006243,-999.0,11,64,0.228225,-999.0,-999,0.168062,0.730905,0.311065,-999.0,0.974828,0.986902,0.004028,-999.0,0.397388,0.970817,-999,0.143298,-0.000989,-999,0.983019,-999,0.472873,-0.001174,3,0.011224,0.001053,0.390897,590,-999.0,-999.0,0.164244,11,-999,-999,210,1,0.700123,-999.0,0.03925,0.007099,-999,-999.0,0.036406,0.039865,1.009825,0,0.969194,0.324877,0.02307,7,0.028351,1.000226,-0.085315,1.00469,-999.0,0,-999.0,-999,-999.0,0.004324,2,0,2,70,0.145657,47,9,-0.058861,2,431,67,-4,2,-999,696,0,-999,0,20,19,-0.008813,11,-999.0,0.195809,3,-999.0,68,3,0.005708,0.75071,0.038457,3,-999.0,0.681438,2,2,-999.0,1,-999,-999.0,0.114983,10,2,-999.0,0.441906,66,52,28,-0.003945,0.266231,-999.0,0,0.669647,2,0,0.656177,-999,1,0.277636,-999.0,4,4,0,-999,0.622283,-999,0.970696,3,-29.193512,-999,0,0.317615,0.447125,0,-0.023612,0.138981,-0.00187,-0.006568,-999.0,0.583371,7,-999.0,1.056315,0.197708,0.15294,0,3,0.336984,0.707674,-999,51,-999,0,0.105965,-999.0,1.002724,0,0,0.005118,1,32,30,-999,-0.000117,0.136048,0.319962,0,-999,-999,1
ID_100005,2024-11-09,0,1,248,1,69,28,0.113597,0.391514,0.114129,-999,-1,0,0.165543,1,0.252724,3,0,0.012721,9,690,3,0,0.037631,698,-999.0,20,-999,-999.0,0.999368,-999,0.677664,3,1,668,-999,-999.0,-999,1,-999.0,6,8,1,6,-999.0,251,2.790675,1.000415,21,0.296901,-999.0,0.400262,14,-999,0.391592,0.047213,3,0.090604,1.043285,0.530336,0.627003,-999.0,0.377061,0.017004,-999.0,-999.0,-999.0,-999,0.803728,0.00508,-999,-999.0,504,0.245513,0.204018,6,0.173352,0.681196,1.02163,-999,-999.0,0.513015,0.116923,0,-999,-999,-999,15,-999.0,-999.0,0.006808,-0.012889,-999,1.005063,0.090941,0.024816,0.801293,1,0.641933,0.014092,0.036186,-999,0.418113,0.503,0.142463,-999.0,-999.0,0,-999.0,-999,-999.0,0.005514,13,11,8,98,0.019423,8,2,-0.02941,0,77,0,-999,1,-999,175,2,-999,0,30,4,0.198415,-999,-999.0,-0.094656,5,0.648777,170,5,-0.017696,0.514876,0.138937,2,0.982608,0.610302,2,0,-999.0,1,-999,-999.0,0.101713,7,1,0.000719,0.223848,634,52,7,0.121152,0.996116,-999.0,0,0.6475,-999,0,-0.00721,-999,12,0.371979,-999.0,3,3,3,-999,0.636723,-999,0.655053,0,-28.80851,-999,0,-999.0,0.446252,0,-0.003579,0.377396,-0.005684,0.09194,-999.0,1.007297,2,-999.0,1.192322,0.296801,0.325733,0,0,0.026849,-999.0,-999,54,558,0,0.294566,-999.0,0.468358,3,1,0.433599,0,33,-999,-999,-999.0,-0.03735,-0.001853,0,-999,-999,0
ID_100006,2024-10-18,0,1,78,2,61,39,0.006095,0.057302,0.344139,-999,3,2,0.175119,1,0.449187,-999,5,0.001592,1910,1,1,-1,0.085387,-999,-999.0,22,-999,0.538413,0.439104,-999,0.08674,4,5,724,-999,-999.0,168,0,-0.007629,7,6,2,1,-999.0,-999,4.994638,0.756402,-999,0.771925,0.291259,-0.006241,30,218,0.441096,0.342766,-999,0.147331,0.979222,0.990668,-999.0,1.017954,0.023617,0.188404,-999.0,0.298932,0.995462,-999,0.001587,0.00081,-999,-999.0,-999,-999.0,1.006026,1,0.996755,0.297923,0.246966,72,-999.0,0.99889,-0.007538,5,-999,95,-999,0,0.649095,1.023279,-0.002527,0.120548,1,0.000579,0.039555,0.438788,-0.022486,0,0.594119,-999.0,-0.032599,3,0.745744,-0.018575,0.68981,0.008712,-999.0,0,1.012756,-999,-999.0,-0.009374,4,1,10,330,0.21155,67,0,0.080369,0,39,0,-1,0,-999,170,0,-999,0,19,3,0.991108,-999,-999.0,0.199771,-999,0.663045,146,4,0.01686,0.507488,0.016172,2,1.001256,0.984729,2,2,-999.0,4,-999,1.01161,0.428165,3,1,-999.0,0.219662,-999,52,0,-0.008023,0.002005,-999.0,0,0.539101,4,0,0.496553,-999,15,0.291229,-999.0,2,2,0,-999,0.91304,-1,0.327511,3,-27.472425,-999,1,0.120922,0.509845,1,-0.020408,0.820172,-999.0,0.014211,-0.017364,0.902311,1,-999.0,1.092918,0.457028,0.344576,4,1,0.005843,0.008673,-999,55,237,0,0.36316,-999.0,0.51547,-999,0,0.156525,0,33,-999,-999,-999.0,0.085841,-0.026085,0,-999,-999,0
ID_100007,2024-09-02,0,1,125,0,95,27,0.015079,0.12047,0.196167,0,20,7,0.080891,1,-0.013002,-999,0,0.084575,-2,8,5,0,0.078791,713,-999.0,34,-999,0.254353,0.992956,0,0.247384,5,4,708,24,0.089165,-999,3,-999.0,5,7,0,1,187.068063,229,3.215182,0.019368,-999,0.715977,0.681329,0.053473,39,-999,0.62971,0.48975,-999,0.081762,0.485208,0.172325,-999.0,0.72536,-999.0,1.008815,-999.0,0.479624,0.26225,-999,0.909577,-0.003263,-999,-999.0,-999,0.010528,0.29842,0,-999.0,0.021466,-0.011263,672,-999.0,-999.0,0.099665,1,-999,0,-999,4,0.495401,0.989311,0.014378,0.192895,-999,-999.0,-0.202189,1.005175,0.992952,0,1.980003,0.003035,-0.03503,-1,0.206822,1.002156,0.386065,0.357865,-999.0,0,0.986852,-999,-999.0,-0.001069,16,9,-999,-999,-999.0,9,3,0.633817,0,21,0,11,1,184,-999,0,-999,9,89,1,0.095703,-999,-0.009591,-0.126465,0,0.800514,74,3,0.012374,0.617435,0.162039,1,-999.0,0.734142,1,0,-999.0,1,1,-999.0,0.101629,20,5,0.244272,0.26175,650,-999,0,0.335795,0.157348,-999.0,3,0.661421,1,0,0.011203,-999,5,0.244567,1.008986,3,1,0,-999,0.788045,17,-999.0,3,0.400433,-999,0,-999.0,-999.0,3,-0.01682,0.344251,0.002074,0.211902,-999.0,0.583926,3,-999.0,2.098916,0.254386,0.397354,5,5,-2.2e-05,0.971453,38,26,-999,3,0.994388,-999.0,0.342306,-999,0,0.391488,0,33,33,6,-999.0,0.227192,-0.002889,0,-999,-999,2
ID_100008,2024-12-01,0,1,49,9,137,22,0.001452,0.409856,0.10058,38,14,-999,0.398329,4,0.529663,6,0,0.145624,5,2,3,0,0.027997,723,-999.0,10,-999,0.684728,0.504349,-999,0.083745,3,1,227,-999,0.000288,-999,9,-0.027105,3,9,0,3,372.506579,297,4.9595,-0.004037,-999,-999.0,0.514371,0.351171,11,-999,-0.155098,1.024055,-999,0.045175,1.001553,1.304918,-999.0,-999.0,0.44761,0.145231,-999.0,0.534155,0.505083,-999,0.018751,-0.016044,-999,0.666233,-999,0.283319,0.50174,1,-999.0,0.333602,-0.008016,-999,0.010877,0.014548,0.118546,3,-999,-999,-999,6,0.194419,0.512848,-0.004289,-999.0,-999,-999.0,0.104483,0.133214,1.001585,0,1.249755,0.479705,-999.0,1,0.193179,1.024248,0.02247,1.036311,-999.0,0,1.014625,-999,-999.0,0.009553,25,11,3,197,1.023278,22,0,0.873536,0,130,0,28,0,-999,108,0,-999,0,8,8,0.51286,-999,-999.0,0.198637,16,-999.0,-999,1,-0.017897,0.33479,0.113514,3,-0.008012,0.724459,3,1,-999.0,1,-999,-999.0,0.624386,12,3,0.008973,0.485624,-999,51,0,0.001454,0.509282,-999.0,0,1.018001,1,0,0.03265,-999,5,0.391343,1.021848,7,1,0,-999,0.992641,-999,-999.0,6,-0.355857,-999,1,0.985554,0.373234,-999,0.002368,0.557554,0.086446,0.006034,-999.0,-999.0,6,-999.0,1.108037,0.423834,-0.001908,2,0,0.182356,-0.005071,2,32,388,0,0.086908,-999.0,1.013607,-999,0,0.73947,0,56,51,21,-999.0,0.019374,-999.0,0,0,-1,0
ID_100009,2024-09-25,0,1,157,2,98,14,0.024651,0.34124,0.166153,3,0,1,0.164897,3,0.514283,-999,0,0.088645,-1,11,10,0,0.111646,721,-999.0,8,-999,0.754553,0.307041,-999,0.317882,5,5,708,-999,0.734413,-999,0,-999.0,0,1,0,-1,-999.0,149,1.702893,1.008655,-999,0.477556,1.010631,0.128589,15,593,0.140817,-999.0,-999,0.173981,0.490696,4.041002,1.010709,0.467896,0.478736,0.174156,0.11583,-999.0,0.862693,0,0.995685,-0.006268,-999,0.38521,-999,-0.000686,0.69343,2,-0.011383,0.256852,0.169779,499,-999.0,0.010935,-0.005617,0,-999,-999,-999,20,-999.0,1.014284,-0.002136,0.351182,8,-999.0,0.080432,0.885295,-999.0,0,0.356492,-999.0,0.00412,8,0.30134,0.005493,1.141261,1.03097,-999.0,0,-999.0,-999,0.32345,0.001172,3,0,0,-999,-999.0,5,0,-0.032514,1,50,0,9,-999,-999,196,1,-999,1,71,2,0.165058,-999,0.272292,-0.138103,-999,-999.0,90,-999,0.633378,0.503083,0.035908,2,0.75584,0.330682,2,2,-999.0,0,-999,0.522257,0.185331,7,1,-999.0,0.697069,105,52,1,0.058803,0.257567,-999.0,0,-999.0,1,0,-0.011301,-999,10,0.349412,0.995419,6,2,0,-999,0.787339,62,-999.0,4,0.67579,-999,0,0.594654,0.999128,8,0.024722,0.514415,0.058567,-999.0,-0.008145,-999.0,0,-999.0,1.038326,-0.017684,0.342667,16,2,3.139886,-0.008943,-999,32,-999,1,0.585658,-999.0,0.751144,47,0,0.399265,0,51,25,-999,-999.0,0.487402,1.004106,0,-999,-999,0
ID_100010,2024-10-18,0,1,33,7,202,58,0.06781,0.246267,0.165841,1,-999,-999,0.229239,1,0.406142,-999,2,0.005547,-2,9,1,-1,0.296454,705,-63585.268098,4,-999,0.265784,0.332563,5,1.037403,1,7,720,-999,-999.0,-999,-2,-999.0,15,26,0,4,-999.0,-999,9.370836,0.292118,0,0.986648,0.352819,-999.0,2,12,0.217349,1.024694,-999,0.031516,0.22993,0.819537,-0.029856,0.660292,0.139226,-0.003101,0.002427,0.798497,-999.0,-999,0.545158,-0.014092,-999,-999.0,-999,0.013697,-999.0,2,0.007339,-0.004732,-0.018755,695,-0.01453,0.641333,0.127416,2,-999,-999,-999,5,-999.0,0.52047,-0.008812,0.129632,-999,-999.0,0.031396,-999.0,0.691705,0,1.159995,0.502669,0.000447,6,0.069931,0.51359,-0.115475,-999.0,-999.0,-999,0.297355,-999,-999.0,-0.005613,9,7,6,171,0.002065,22,0,-0.064755,0,119,0,4,3,-999,98,6,-999,0,31,3,1.012627,-999,0.607319,0.233663,-999,0.016591,116,3,-0.000619,0.676717,0.018386,1,1.02974,0.898052,2,0,-999.0,-999,-999,-999.0,0.050693,57,2,-999.0,0.21158,-999,33,1,0.07567,0.004618,-0.001295,0,-999.0,1,0,1.041604,-999,7,0.01017,-999.0,3,1,0,-999,0.9889,-999,-999.0,2,-0.345616,-999,0,-0.017744,0.201582,1,-0.004284,0.220716,-0.003229,0.471263,-999.0,0.499528,2,-999.0,1.940427,0.28626,0.607563,0,1,0.002754,1.011995,-999,33,-999,2,0.21846,-999.0,0.505888,-999,0,0.75949,0,51,-999,-999,0.000135,0.002242,0.012177,0,-999,-999,3
