FT2_B0020_d720,FT2_1322_m24,FT2_B0017_d720,FT2_B0018_d720,FT2_1656_m24,FT2_1657_m12,FT2_1656_m12,FT2_0145_m24,FT2_0185_m24,FT2_0155_m24,FT2_1657_m24,FT2_1322_m12,FT2_1344_m24,FT2_0758_m24,FT2_1524_m24,FT2_1657_m6,FT2_1116_m24,FT2_1117_m24,FT2_B0061_d180,FT2_0008_m24,FT2_1656_m6,FT2_B0001_d720,FT2_0175_m24,FT2_0000_m24,FT2_0185_m12,FT2_1270_m12_to_m24,FT2_1271_m12_to_m24,FT2_0155_m12,FT2_1212_m24,FT2_B0072_d180,FT2_B0065_d180,FT2_B0003_d720,FT2_0758_m12,FT2_0848_m24,FT2_0050_m24,FT2_1145_m24,FT2_0778_m12_to_m24,FT2_B0059_d180,FT2_1113_m24,FT2_1524_m12,FT2_0642_m24,FT2_0175_m12,FT2_0042_m24,FT2_B0019_d720,FT2_1270_m6_to_m12,FT2_0756_m24,FT2_1354_m6_to_m12,FT2_1268_m12_to_m24,FT2_0070_m12_to_m24,FT2_B0020_d180,FT2_0793_m24,FT2_1212_m12,FT2_0070_m6_to_m12,FT2_0156_m24,FT2_B0023_d180,FT2_0126_m6_to_m12,FT2_0029_m24,FT2_0239_m12,FT2_1271_m6_to_m12,FT2_1295_m12_to_m24,FT2_1657_m3,FT2_1005_m12,FT2_0126_m12_to_m24,FT2_0697_m6_to_m12,FT2_0166_m24,FT2_1295_m6_to_m12,FT2_1317_m24,FT2_0630_m24,FT2_0697_m12_to_m24,FT2_0350_m24,FT2_1039_m24,FT2_0071_m12_to_m24,FT2_B0061_d90,FT2_1040_m24,FT2_1656_m3,FT2_1657_m2,FT2_B0008_d720,FT2_0330_m24,FT2_0071_m6_to_m12,FT2_B0101_d720,FT2_0085_m24,FT2_1499_m24,FT2_0661_m24,FT2_0675_m24,FT2_B0059_d90,FT2_0698_m12_to_m24,FT2_0725_m12,FT2_1656_m2,FT2_0840_m24,FT2_0166_m12,FT2_1278_m12_to_m24,FT2_B0104_d720,FT2_0997_m24,FT2_0683_m12,FT2_1524_m6,FT2_0029_m12,FT2_0882_m12,FT2_1219_m24,FT2_0056_m24,FT2_1212_m6,FT2_1040_m12,FT2_1210_m24,FT2_0854_m12_to_m24,FT2_0706_m12_to_m24,FT2_B1095_d180,FT2_0684_m24,FT2_1263_m24,FT2_1482_m6_to_m12,FT2_1122_m12,FT2_B0057_d90,FT2_B2052_d180,FT2_B0020_d90,FT2_0217_m24,FT2_1657_m1,FT2_B1001_d180,FT2_B2032_d180,FT2_1210_m12,FT2_1150_m3,FT2_1495_m24,FT2_0807_m24,FT2_0669_m24,FT2_B0084_d60,FT2_0631_m24,FT2_0787_m24,FT2_1171_m24,FT2_0286_m24,FT2_B1062_d180,FT2_B0098_d180,FT2_B0057_d60,FT2_B0047_d30,FT2_1263_m12,FT2_0840_m12,FT2_B0102_d720,FT2_0670_m24,FT2_1268_m6_to_m12,FT2_0043_m24,FT2_B0080_d180,FT2_1243_m6,FT2_B0073_d180,FT2_B0023_d60,FT2_B0041_d60,FT2_1281_m12_to_m24,FT2_B0058_d180,FT2_B0025_d180,FT2_B0028_d180,FT2_0611_m6,FT2_0005_m12,FT2_1073_m24,FT2_0079_m6_to_m12,FT2_B0056_d180,FT2_B0017_d90,FT2_B0026_d180,FT2_0435_m24,FT2_B0047_d60,FT2_B0006_d720,FT2_B0045_d180,FT2_B1080_d180,FT2_B0093_d180,FT2_B0056_d90,FT2_1296_m6_to_m12,FT2_B1079_d180,FT2_B0062_d30,FT2_B0040_d30,FT2_B1095_d90,FT2_B0073_d30,FT2_0153_m6,FT2_B0082_d90,FT2_B0066_d180,FT2_0684_m12,FT2_B0040_d90,FT2_B0040_d60,FT2_B2056_d180,FT2_0756_m6,FT2_B0085_d180,FT2_0670_m12,FT2_B0077_d30,FT2_B0074_d90,FT2_B0103_d720,FT2_0050_m6,FT2_B0049_d90,FT2_B0060_d30,FT2_B0071_d180,FT2_B0074_d60,FT2_0841_m12,FT2_B0047_d180,FT2_B0068_d180,FT2_B0075_d30,FT2_0394_m6,FT2_B0044_d30,FT2_B1001_d90,FT2_0862_m6_to_m12,FT2_B0021_d720,FT2_B0097_d180,FT2_B0071_d90,FT2_B0082_d60,FT2_B0082_d30,FT2_1547_m24,FT2_B0027_d30,FT2_1613_m24,FT2_B0045_d60,FT2_0945_m24,FT2_B2052_d60,FT2_B0047_d90,FT2_0935_m6_to_m12,FT2_B0073_d90,FT2_B0043_d30,FT2_1204_m3,FT2_B0064_d60,FT2_B2052_d30,FT2_B0045_d90,FT2_B0045_d15,FT2_1414_m3,FT2_1140_m2,FT2_B0079_d30,FT2_0883_m12,FT2_B2025_d180,FT2_1082_m3,FT2_0826_m24,FT2_B0092_d180,ms_no,mobile_sha256,prod_flag,sample_type,target1_mi,target2_mi,stage,hs_date,label,weight,target,month_time,day_time,week_time,proba,score,bucket
21.0,3.0,23.0,10.0,0.304348,0.666667,0.571429,-999.0,-999.0,-999.0,0.363636,1.0,0.442326,-999.0,0.0,0.666667,3.0,3.0,0.0,0.0,0.75,715.0,-999.0,1.0,-999.0,0.0,0.0,-999.0,0.448427,0.0,0.0,694.0,-999.0,-999.0,-999.0,2.0,-999.0,0.0,3.0,0.0,1.0,-999.0,-999.0,2.3,-999.0,-999.0,0.0,0.0,0.0,3.0,-999.0,0.0,-999.0,-999.0,0.016667,-999.0,0.0,-999.0,-999.0,0.333333,-999.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,694.0,-999.0,-999.0,0.097982,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-0.195244,0.0,-999.0,0.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,629.0,0.0,-999.0,0.0,-999.0,694.0,0.0,-999.0,0.0,33.0,0.0,0.0,-999.0,-999.0,0.006854,-999.0,-999.0,-999.0,2.0,0.0,0.0,0.0,0.0,-999.0,0.5,1.0,0.0,-999.0,0.0,-999.0,-999.0,0.5,0.0,0.0,-999.0,0.0,-999.0,49.0,0.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,0.0,0.0,-999.0,0.0,0.0,0.0,-999.0,1.0,-999.0,-999.0,0.0,-28.530514,-999.0,0.0,-999.0,0.0,0.0,-999.0,0.375,0.0,-999.0,-999.0,-999.0,0.0,-999.0,1.095238,0.666667,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,0.0,2618468494244577696,d45735e2015b20c4e8f95645096ae0dac3c9924b9e6b35660d181689bd045a3c,S,CA,0.0,0.0,test,2024-11-21,0.0,1,train,2024-11,2024-11-21,47,0.1604264,619,5
18.0,2.0,23.0,8.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,2.0,0.380693,-999.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,707.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,2.0,1.0,253.0,-999.0,-999.0,-999.0,0.0,-999.0,6.0,0.0,0.0,0.0,-999.0,-999.0,2.875,-999.0,-999.0,0.5,-999.0,-999.0,6.0,-999.0,0.0,-999.0,-999.0,0.033333,-999.0,0.204124,-999.0,-999.0,0.714286,0.0,-999.0,-999.0,-999.0,-999.0,0.2,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,2.0,0.0,0.0,0.0,253.0,0.0,0.0,0.085139,1.0,-999.0,-999.0,-999.0,3.0,1.0,-999.0,0.0,-999.0,-999.0,-999.0,0.017696,-999.0,-999.0,0.0,0.288675,-999.0,0.0,-999.0,0.0,0.0,0.0,-999.0,1.0,0.0,1.0,-999.0,-999.0,-999.0,3.0,1.0,3.0,-999.0,0.0,0.0,0.0,0.0,0.0,-999.0,0.0,-999.0,2.0,-999.0,-999.0,0.0,-999.0,1.0,72.0,3.0,1.0,-999.0,-999.0,0.013368,-999.0,-999.0,-999.0,0.0,0.0,0.666667,0.05,2.0,-999.0,1.0,1.0,0.0,-999.0,0.0,-999.0,0.0,0.0,3.0,0.0,0.0,0.555556,-999.0,51.0,0.0,0.0,0.0,-999.0,3.0,1.0,1.0,0.0,0.0,-999.0,2.0,0.333333,1.0,2.0,2.0,0.0,-999.0,1.0,-999.0,1.0,2.0,0.044819,-999.0,0.0,1.0,0.333333,2.0,1.0,0.388889,0.0,1.0,-999.0,1.0,0.0,-999.0,1.277778,0.0,0.333333,2.0,1.0,0.0,0.0,-999.0,53.0,253.0,1.0,0.555556,-999.0,0.5,97.0,0.0,0.0,0.0,53.0,53.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,0.0,2582720644667933856,4d4d2304e9265b029491e1fec60e7431d55285fcad426ee1ac661a57cb3dd9eb,S,CA,0.0,0.0,train,2024-10-03,0.0,1,valid,2024-10,2024-10-03,40,0.13988179,637,8
116.0,6.0,143.0,26.0,0.027972,0.176471,0.051724,-999.0,-999.0,-999.0,0.148148,1.0,0.829702,-999.0,3.0,0.181818,8.0,8.0,4.0,0.0,0.074074,719.0,-999.0,25.0,-999.0,0.375,0.375,-999.0,0.761387,7.0,5.0,715.0,-999.0,-999.0,-999.0,6.0,-999.0,7.0,12.0,1.0,9.0,-999.0,145.0,5.5,0.333333,5.0,0.0,0.416667,0.28,25.0,-999.0,0.452267,0.571429,-999.0,0.144444,1.0,0.204124,-999.0,0.333333,0.058824,0.0,-999.0,0.375,1.0,-999.0,0.0,0.0,173.0,0.333333,-999.0,0.25,0.0,3.0,1.0,0.0,0.0,630.0,-999.0,-999.0,0.141747,1.0,-999.0,-999.0,-999.0,4.0,0.0,0.666667,0.0,0.2,-999.0,-999.0,-0.15286,0.08,0.428571,1.0,0.0,0.333333,0.0,0.0,0.408248,-999.0,0.0,0.4,-999.0,10.0,1.0,-999.0,-999.0,0.0,12.0,5.0,12.0,497.0,0.0,6.0,0.0,0.0,0.0,28.0,0.0,0.0,4.0,-999.0,13.0,0.0,-999.0,5.0,39.0,8.0,0.375,-999.0,0.285714,0.381404,-999.0,0.4,-999.0,1.0,0.0,0.7,0.15,5.0,0.5,0.740741,2.0,1.0,-999.0,0.0,-999.0,-999.0,0.222222,13.0,3.0,-999.0,0.358025,497.0,51.0,0.0,0.2,0.0,-999.0,0.0,0.0,3.0,6.0,1.0,-999.0,11.0,0.5,-999.0,6.0,5.0,1.0,-999.0,0.9,-999.0,0.333333,5.0,0.040572,-999.0,1.0,0.0,0.444444,3.0,-999.0,0.201646,0.0,0.25,-999.0,0.5,3.0,-999.0,1.232759,0.2,0.384615,7.0,3.0,3.202976,0.333333,-999.0,51.0,-999.0,0.0,0.266272,-999.0,0.571429,95.0,0.0,0.333333,0.0,51.0,27.0,-999.0,0.0,0.0,-999.0,0.0,-999.0,0.0,2.0,2597987997622206880,f05c3b1367d78a5da0b060110d8724e72664c86dc456a477794619cad596e0c8,S,CA,0.0,0.0,train,2024-10-24,0.0,1,train,2024-10,2024-10-24,43,0.11898827,659,11
156.0,15.0,176.0,45.0,0.034091,0.071429,0.036585,8.0,8.0,8.0,0.096154,6.0,0.880547,8.0,12.0,0.0625,7.0,7.0,10.0,1.0,0.064516,708.0,-999.0,10.0,8.0,0.571429,0.571429,8.0,0.550033,4.0,8.0,652.0,8.0,0.0,-999.0,4.0,1.0,15.0,10.0,2.0,9.0,-999.0,189.0,3.911111,0.0,8.0,0.333333,0.7,0.1,30.0,306.0,0.651339,0.0,-999.0,0.172222,0.0,0.448427,0.0,0.0,0.483871,0.125,1.0,0.111111,0.0,-999.0,0.2,0.0,508.0,0.111111,306.0,0.111111,1.0,3.0,0.5,0.066667,0.25,652.0,-999.0,0.0,0.156942,2.0,-999.0,-999.0,-999.0,3.0,1.0,1.0,0.125,0.0,-999.0,-999.0,-0.17134,0.1,1.0,1.0,0.621582,0.0,0.0,0.0,0.0,0.5,0.0,-999.0,-999.0,0.0,0.666667,-999.0,-999.0,0.0,8.0,6.0,15.0,306.0,0.333333,3.0,0.0,0.0,1.0,214.0,0.0,0.0,3.0,222.0,186.0,0.0,-999.0,0.0,16.0,5.0,0.44,-999.0,0.0,0.021105,0.0,0.285714,84.0,7.0,0.0,0.266667,0.133333,4.0,1.0,0.741935,2.0,1.0,-999.0,2.0,-999.0,-999.0,0.258065,15.0,1.0,-999.0,0.28125,-999.0,53.0,6.0,0.066667,0.466667,-999.0,0.0,0.0,3.0,0.0,0.333333,-999.0,11.0,0.533333,0.666667,6.0,4.0,2.0,-999.0,0.866667,0.0,0.333333,5.0,-28.522572,-999.0,0.0,0.0,0.322581,1.0,0.0,0.096774,0.0,0.2,-999.0,0.6,2.0,-999.0,1.128205,0.533333,0.466667,5.0,3.0,0.0,0.333333,-999.0,52.0,-999.0,3.0,0.217778,-999.0,0.375,80.0,0.0,0.0,3.0,52.0,52.0,-999.0,-999.0,0.2,0.0,0.0,-999.0,-999.0,1.0,2586298741103330720,db24107ae7d0af41da86815a2036bc174b6ede7e2e71f687487977e9c32988d1,S,CA,0.0,0.0,train,2024-10-08,0.0,1,train,2024-10,2024-10-08,41,0.072769925,721,14
15.0,1.0,17.0,9.0,0.058824,0.125,0.0625,-999.0,-999.0,-999.0,0.111111,1.0,0.204124,-999.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,695.0,-999.0,0.0,-999.0,0.5,0.5,-999.0,0.28233,1.0,0.0,695.0,-999.0,-999.0,-999.0,0.0,-999.0,1.0,3.0,0.0,0.0,-999.0,-999.0,1.888889,0.0,-999.0,0.0,0.666667,-999.0,4.0,-999.0,0.288675,-999.0,-999.0,0.022222,-999.0,0.204124,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,1.0,0.0,1.0,-999.0,-999.0,91.0,-999.0,1.0,0.081395,1.0,-999.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.071208,-999.0,-999.0,0.0,0.288675,-999.0,0.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,0.0,0.0,3.0,0.0,91.0,-999.0,1.0,0.0,0.0,0.0,297.0,0.0,-999.0,0.0,-999.0,-999.0,0.0,-999.0,1.0,35.0,0.0,0.0,-999.0,-999.0,3e-05,-999.0,0.0,-999.0,2.0,0.0,0.25,0.0,0.0,1.0,0.25,1.0,0.0,-999.0,0.0,-999.0,-999.0,0.75,0.0,1.0,-999.0,0.0,283.0,52.0,2.0,0.0,-999.0,-999.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.0,0.0,0.0,-999.0,0.5,-999.0,-999.0,0.0,0.050281,-999.0,0.0,-999.0,0.25,0.0,0.0,0.25,0.0,-999.0,-999.0,-999.0,0.0,-999.0,1.133333,0.0,-999.0,0.0,0.0,0.204124,-999.0,-999.0,-999.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,-999.0,-999.0,0.0,2609525303004890272,2827b3841f6a103edd6c81e508999d0b235b25c3a14cac631c72697078049af6,S,CA,0.0,0.0,test,2024-11-09,0.0,1,train,2024-11,2024-11-09,45,0.149631,628,6
51.0,0.0,54.0,14.0,0.055556,0.25,0.069767,23.0,16.0,9.0,0.1875,0.0,0.0,23.0,0.0,0.166667,1.0,1.0,1.0,11.0,0.047619,695.0,773.86096,4.0,16.0,1.0,1.0,9.0,0.204124,1.0,0.0,695.0,23.0,1.0,24.0,0.0,1.0,1.0,3.0,0.0,4.0,773.86096,183.0,3.857143,1.0,-999.0,-999.0,1.0,0.0,20.0,224.0,0.288675,-999.0,6.0,0.116667,-999.0,1.179536,0.0,1.0,-999.0,0.333333,0.0,0.0,-999.0,6.0,-999.0,0.0,-999.0,0.0,224.0,0.0,0.916667,0.0,0.0,0.090909,0.333333,695.0,1.0,0.0,0.0,1.0,-999.0,-999.0,-999.0,0.0,0.916667,-999.0,0.111111,1.0,-999.0,-999.0,-0.233555,0.0,-999.0,0.0,1.564279,-999.0,0.0,20.0,0.408248,0.0,0.0,0.0,0.0,0.0,1.0,-999.0,-999.0,0.0,10.0,19.0,10.0,-999.0,0.5,0.0,0.0,0.0,0.0,123.0,11.0,20.0,3.0,-999.0,455.0,0.0,-999.0,1.0,30.0,8.0,0.555556,-999.0,-999.0,-0.007129,2.0,0.333333,150.0,1.0,0.0,0.166667,0.15,2.0,1.0,0.809524,2.0,0.0,-999.0,0.0,-999.0,-999.0,0.190476,11.0,0.0,0.0,0.432099,-999.0,52.0,18.0,0.0,0.090909,-999.0,0.0,0.0,2.0,0.0,0.0,-999.0,8.0,0.0,1.0,2.0,2.0,0.0,-999.0,0.666667,2.0,1.0,10.0,0.047533,-999.0,0.0,0.0,0.095238,8.0,1.0,0.365079,0.0,1.0,-999.0,0.666667,0.0,0.0,1.058824,0.166667,0.090909,6.0,2.0,0.607919,0.0,-999.0,52.0,224.0,8.0,0.421488,0.0,0.333333,80.0,0.0,0.0,2.0,52.0,-999.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,20.0,0.0,2590866709069956768,e3c4d9e0ae3dd90ec08e5f6264feb2e51825dee86eaa3eec114f765f2caf7056,S,CA,0.0,0.0,train,2024-10-14,0.0,1,train,2024-10,2024-10-14,42,0.1035697,677,12
210.0,7.0,321.0,32.0,0.009346,0.0625,0.00905,25.0,15.0,6.0,0.060606,5.0,0.575779,25.0,5.0,0.1,161.0,5.0,5.0,35.0,0.012195,719.0,692.0356,6.0,15.0,0.975155,0.2,6.0,0.658005,5.0,3.0,665.0,24.0,0.885714,118.0,130.0,0.801292,59.0,8.0,0.0,6.0,734.49915,246.0,10.03125,0.414013,-999.0,0.2,0.125,0.166667,53.0,43.0,0.288675,1.0,20.0,0.316667,1.0,2.309009,0.6,0.0,0.444444,0.142857,0.033333,0.2,1.0,4.0,0.25,0.2,-999.0,0.166667,228.0,0.2,0.666667,4.0,0.5,0.025641,0.166667,665.0,0.0,0.166667,0.0,4.0,-999.0,-999.0,-999.0,32.0,0.666667,1.0,0.071429,0.333333,-999.0,-999.0,0.049801,0.166667,1.0,0.0,2.467977,0.0,0.0,6.0,0.0,0.333333,9.329709,0.0,0.0,0.0,1.0,-999.0,-999.0,0.006369,37.0,1.0,21.0,455.0,0.0,76.0,0.0,9.477245,2.0,267.0,31.0,6.0,5.0,-999.0,118.0,30.0,437.0,1.0,18.0,12.0,0.44,-999.0,0.0,-0.001202,0.0,0.0,118.0,5.0,0.0,0.555556,0.216667,4.0,0.0,0.95122,2.0,2.0,0.0,0.0,20.0,-999.0,0.04878,39.0,6.0,0.111111,0.377551,528.0,33.0,0.0,0.111111,0.051282,-999.0,0.0,1.0,1.0,0.0,0.333333,-999.0,27.0,0.333333,1.0,2.0,2.0,0.0,-999.0,1.0,0.0,0.666667,10.0,0.045703,118.0,2.0,0.8,0.243902,3.0,0.866667,0.634444,0.0,0.4,0.0,1.0,37.0,0.115385,1.528571,0.111111,0.282051,13.0,5.0,0.53161,1.0,-999.0,33.0,164.0,0.0,0.641026,0.080956,0.666667,1.0,0.0,0.142857,0.0,33.0,33.0,-999.0,0.0,0.2,0.333333,2.0,0.0,70.0,1.0,2564168341920974240,ff80732b52fb08b46b72a562bea9544b91d8168c236d7113a718c1db8ae30f72,S,CA,0.0,0.0,train,2024-09-07,0.0,1,valid,2024-09,2024-09-07,36,0.08194414,707,14
65.0,6.0,76.0,32.0,0.131579,0.142857,0.090909,-999.0,-999.0,-999.0,0.264706,2.0,0.56466,-999.0,0.0,0.2,5.0,5.0,3.0,4.0,0.166667,718.0,-999.0,3.0,-999.0,0.4,0.4,-999.0,0.508977,1.0,2.0,718.0,-999.0,0.0,39.0,2.0,-999.0,8.0,13.0,0.0,2.0,-999.0,150.0,2.375,0.0,-999.0,0.0,0.538462,0.0,10.0,-999.0,0.57735,-999.0,-999.0,0.055556,-999.0,0.73721,0.0,0.0,0.3,0.5,0.0,0.0,-999.0,-999.0,0.0,0.0,514.0,0.0,-999.0,0.0,0.833333,0.0,0.333333,0.666667,-999.0,660.0,-999.0,1.0,0.0,3.0,-999.0,-999.0,-999.0,0.0,0.5,-999.0,-999.0,0.333333,-999.0,-999.0,0.071399,0.0,-999.0,0.0,0.996205,-999.0,0.0,146.0,0.0,0.5,0.0,0.0,-999.0,0.0,0.333333,-999.0,-999.0,0.0,3.0,0.0,2.0,99.0,-999.0,9.0,2.0,0.0,0.0,198.0,0.0,296.0,0.0,101.0,364.0,0.0,-999.0,0.0,21.0,0.0,0.0,-999.0,-999.0,-0.130859,397.0,0.285714,347.0,3.0,0.0,0.2,0.0,0.0,0.5,0.916667,1.0,2.0,-999.0,0.0,-999.0,-999.0,0.083333,3.0,4.0,-999.0,0.0,-999.0,33.0,0.0,0.0,0.0,-999.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,3.0,0.4,0.2,2.0,0.0,0.0,-999.0,0.8,-999.0,-999.0,1.0,-28.524803,39.0,1.0,-999.0,0.25,0.0,0.0,0.277778,0.0,-999.0,0.0,-999.0,2.0,-999.0,1.169231,0.2,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,0.555556,-999.0,0.0,-999.0,0.0,-999.0,0.0,32.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,-999.0,-999.0,0.0,2621379558745572512,9f9873f6cb436dd65af1b05ce2d83005c3e2967e853e24b4590d840801e4ec40,S,CA,0.0,0.0,test,2024-11-25,0.0,1,valid,2024-11,2024-11-25,48,0.14502649,633,7
227.0,13.0,322.0,41.0,0.096273,0.142857,0.071856,9.0,3.0,3.0,0.288889,7.0,1.113162,6.0,4.0,0.095238,12.0,6.0,14.0,37.0,0.037736,718.0,444.8951,31.0,3.0,0.75,0.666667,3.0,0.53161,11.0,6.0,718.0,1.0,0.945946,86.0,5.0,0.314649,29.0,17.0,3.0,12.0,602.7482,139.0,7.853659,0.666667,-999.0,0.428571,0.705882,0.290323,41.0,186.0,0.651339,0.222222,4.0,0.261111,0.333333,3.016861,0.4375,0.75,0.444444,0.076923,0.0,0.428571,0.333333,4.0,0.15,0.0,279.0,0.5,-999.0,0.142857,0.5,8.0,0.0,0.043478,0.1,674.0,1.0,0.088235,0.0,5.0,9.0,-999.0,-999.0,10.0,0.46875,0.833333,0.066667,0.16129,4.0,-999.0,0.000571,0.064516,0.666667,1.0,3.857303,0.166667,0.0,0.0,0.83666,0.0,1.307725,0.2,-999.0,0.0,0.941176,3.0,0.624496,0.0,23.0,17.0,20.0,100.0,0.2,24.0,13.0,1.083625,1.0,43.0,35.0,1.0,9.0,100.0,109.0,4.0,-999.0,12.0,19.0,15.0,0.265306,3.0,0.111111,0.042099,0.0,0.416667,75.0,5.0,0.632456,0.52381,0.25,7.0,0.833333,0.943396,3.0,2.0,-999.0,8.0,-999.0,0.0,0.056604,23.0,7.0,0.0,0.164444,654.0,52.0,5.0,0.0,0.0,0.0,0.0,0.4,5.0,0.0,0.4,23.0,19.0,0.285714,0.882353,7.0,6.0,0.0,-999.0,0.857143,0.0,0.6,15.0,-28.526455,-999.0,2.0,0.285714,0.320755,9.0,0.882353,0.077964,0.037736,0.571429,0.0,0.428571,13.0,0.0,1.418502,0.285714,0.26087,13.0,6.0,1.239448,0.2,-999.0,32.0,175.0,2.0,0.130435,0.0,0.384615,1.0,2.0,0.333333,2.0,32.0,24.0,29.0,0.0,0.142857,0.5,1.0,-999.0,4.0,0.0,2573048103582041760,d7ec281341fd6e1e4e39722c1343593e2a3065fe761aef6be397b536bf4faa85,O,CA,0.0,0.0,train,2024-09-20,0.0,1,train,2024-09,2024-09-20,38,0.10083847,680,13
215.0,17.0,307.0,69.0,0.071661,0.189189,0.116883,20.0,6.0,4.0,0.150685,7.0,0.974308,20.0,3.0,0.045455,17.0,17.0,13.0,33.0,0.015625,715.0,359.52472,28.0,6.0,0.764706,0.764706,4.0,1.334465,13.0,10.0,707.0,19.0,0.939394,152.0,2.0,0.808276,39.0,26.0,1.0,23.0,390.7285,266.0,4.449275,0.538462,2.0,0.714286,0.769231,0.107143,43.0,61.0,1.621354,0.333333,0.0,0.316667,0.333333,3.141298,0.857143,0.538462,0.40625,0.111111,0.035714,0.2,0.0,0.0,0.692308,0.0,49.0,0.043478,245.0,0.066667,0.39726,4.0,0.4,0.111111,0.0,707.0,0.0,0.068966,0.207372,5.0,-999.0,415.0,26.0,4.0,0.39726,0.333333,0.0,0.285714,-999.0,-999.0,-0.151507,0.071429,0.333333,0.0,2.968267,0.333333,0.0,0.0,2.041241,0.333333,0.0,0.125,0.0,0.0,1.0,-999.0,-999.0,0.0,9.0,34.0,9.0,77.0,0.0,10.0,0.0,0.0,2.0,127.0,31.0,0.0,3.0,-999.0,315.0,0.0,421.0,1.0,24.0,3.0,0.5,-999.0,0.333333,35.27905,0.0,0.4,136.0,5.0,0.0,0.619048,0.05,3.0,0.333333,0.953125,4.0,3.0,-999.0,0.0,9.0,-999.0,0.046875,9.0,4.0,0.0,0.333333,675.0,52.0,21.0,0.047619,0.0,-999.0,0.0,0.5,2.0,0.0,0.0,-999.0,7.0,0.47619,1.0,6.0,3.0,0.0,-999.0,0.857143,0.0,1.0,5.0,6.807693,-999.0,1.0,0.5,0.34375,2.0,0.896552,0.126465,0.0,1.0,0.0,0.5,3.0,0.0,1.427907,0.380952,0.444444,3.0,2.0,0.58823,0.0,1.0,33.0,213.0,0.0,0.111111,0.0,0.444444,38.0,0.0,0.333333,0.0,33.0,-999.0,-999.0,-999.0,0.0,0.333333,0.0,-999.0,12.0,1.0,2596624984591827616,15369a4ed1f24708303a3fe440fe573cad838b3274caf60d2aa3837f1282194e,S,CA,0.0,0.0,train,2024-10-22,0.0,1,train,2024-10,2024-10-22,43,0.07801555,713,14
